 time,x,y
76.6,12665.43144,2318.864743
76.7,12670.11858,2294.644565
76.8,12674.7926,2270.394203
76.9,12679.45353,2246.113742
77,12684.10141,2221.803266
77.1,12688.73627,2197.462859
77.2,12693.35816,2173.092606
77.3,12697.96711,2148.692589
77.4,12702.56315,2124.262893
77.5,12707.14632,2099.803599
77.6,12711.71666,2075.314792
77.7,12716.2742,2050.796553
77.8,12720.81898,2026.248966
77.9,12725.35104,2001.672111
78,12729.87041,1977.066072
78.1,12734.37712,1952.43093
78.2,12738.87121,1927.766766
78.3,12743.35272,1903.073662
78.4,12747.82168,1878.351698
78.5,12752.27813,1853.600956
78.6,12756.7221,1828.821516
78.7,12761.15363,1804.013458
78.8,12765.57275,1779.176863
78.9,12769.97949,1754.311811
79,12774.3739,1729.41838
79.1,12778.756,1704.496652
79.2,12783.12583,1679.546704
79.3,12787.48343,1654.568616
79.4,12791.82882,1629.562466
79.5,12796.16205,1604.528334
79.6,12800.48315,1579.466297
79.7,12804.79214,1554.376434
79.8,12809.08908,1529.258823
79.9,12813.37398,1504.113541
80,12817.64688,1478.940665
80.1,12821.90781,1453.740274
80.2,12826.15682,1428.512444
80.3,12830.39393,1403.257252
80.4,12834.61918,1377.974774
80.5,12838.83259,1352.665088
80.6,12843.03421,1327.328268
80.7,12847.22406,1301.964391
80.8,12851.40219,1276.573534
80.9,12855.56861,1251.155771
81,12859.72337,1225.711177
81.1,12863.86649,1200.239828
81.2,12867.99801,1174.741799
81.3,12872.11797,1149.217165
81.4,12876.22639,1123.666
81.5,12880.3233,1098.088377
81.6,12884.40874,1072.484373
81.7,12888.48275,1046.854059
81.8,12892.54535,1021.19751
81.9,12896.59657,995.5147998
82,12900.63645,969.8060009
82.1,12904.66501,944.0711867
82.2,12908.6823,918.31043
82.3,12912.68834,892.5238034
82.4,12916.68316,866.7113794
82.5,12920.6668,840.8732301
82.6,12924.63928,815.0094277
82.7,12928.60064,789.1200439
82.8,12932.55091,763.2051503
82.9,12936.49011,737.2648185
83,12940.41829,711.2991196
83.1,12944.33547,685.3081247
83.2,12948.24168,659.2919045
83.3,12952.13695,633.2505298
83.4,12956.02131,607.1840709
83.5,12959.8948,581.092598
83.6,12963.75745,554.9761813
83.7,12967.60927,528.8348906
83.8,12971.45032,502.6687955
83.9,12975.28061,476.4779654
84,12979.10017,450.2624697
84.1,12982.90904,424.0223774
84.2,12986.70724,397.7577573
84.3,12990.49481,371.4686781
84.4,12994.27177,345.1552084
84.5,12998.03816,318.8174164
84.6,13001.794,292.4553702
84.7,13005.53933,266.0691377
84.8,13009.27417,239.6587867
84.9,13012.99855,213.2243846
85,13016.7125,186.7659989
85.1,13020.41606,160.2836966
85.2,13024.10924,133.7775448
85.3,13027.79208,107.2476103
85.4,13031.46462,80.69395951
85.5,13035.12686,54.11665896
85.6,13038.77886,27.51577486
85.7,13042.42063,0.891373231
85.8,13046.0522,-25.75648008
